video_id,title,likes,rank
OfCPi501b28,Meetch (Ile-de-France)  -  Eisenschreiber Benoit,62,127
w93ByVqZ1UM,Grassouillet (Ile-de-France) - Antoine Chenu,60,128
xdSejQfqFM4,Clardovel (Auvergne Rhône Alpes) - Yann Clarisse,59,129
imofyUG4DPs,Reviviscens (Bretagne) - Lucie Labergerie,58,130
3ptG6hzF0kE,amusée (Bretagne) - Elsa Tessier,58,130
96TnsgAmawQ,Nebulone (Centre Val de Loire) - Raphael Crisman,56,132
AdSFSHvUOUQ,Kyol (Ile-de-France) - Quentin Ringot,54,133
J5QA0bjP4Pc,Agatos (Auvergne Rhône Alpes) - Alexis Portelli,54,133
T_CUopLhsVY,Koppelia (Hauts de France) - Kenza Castel,54,133
t_6c22gxz_U,BOOKLINK (Auvergne Rhône Alpes)  Angélique Carreno,53,136
2gdlZLWnLE8,OPTYS (Nouvelle-Aquitaine) - Jeanne Benezra,53,136
LrBeTFxO9iU,Kayaji (Provence-Alpes-Côte d'Azur) - Sofiane El Arbaoui,53,136
Uzy5FiYSra8,Eklo  (Nouvelle-Aquitaine) - Mayeul Escouboué,52,139
co9US2LO0jo,Délicatement Sublime (Ile de France) - Mazarine Mamodesen,52,139
1hTIg9ugsBQ,FreshGuard (Ile de France) - Alone Hayat,51,141
s33dV36tMJg,Aux ptits zouzous  (Auvergne Rhône Alpes) - Kimberly Simonet,49,142
zJvQ2vX0wzs,Build Up (Ile de France) - Audrey Baha,47,143
K4imLcfYffQ,SOUM SOUM (Auvergne-Rhône-Alpes) - Ismaël Ailane,47,143
8DCS4CuKdeY,Quest and Fox (Grand Est) - Justine Maisonneuve,46,145
Ld59o_LOWk0,Afro Essence (Ile-de-France) - Massita,45,146
6Y9rVx0PhqE,The Rhumesque  (Provence-Alpes-Côte d’Azur)  -  Aimée Marguerite,44,147
ZocJP_fZ-UM,Merithera (Nouvelle Aquitaine) - Manuela Adjagnissode,43,148
dbB6oVJFeD0,Dobox (Hauts-de-France) - Olivier Sacré,42,149
da1R0wh3HlA,Signé LR (Occitanie) - Léa Rabinaud,41,150
qdyaKxVNK_w,Run In One (Bretagne) - Mattéo Fontenel,41,150
kwa28tcdtiY,WorkAway (Occitanie) - Justine Truillet,40,152
IwtDHQlRjgw,MFStudio&Co (Hauts de France) - Marie Vincent,39,153
TFryzA55HpI,Lueurs d'antan (Bretagne) - Axelle Trouillet,39,153
R7uczJrwiVw,Pocket Market (Occitanie) - Andrew Cargill,38,155
OVg1lgo34ng,Mikoo (Provence-Alpes-Côte d’Azur) - Lucas Cuordifede,37,156
HhN8skozWWM,Hyppalektryon (Hauts-de-France) - Elisa Douchez,36,157
uUnH8dwM4CE,Auliviha (Ile-de-France) - Olivia Luscap,35,158
1gccO--RHsQ,Exhalys (Ile-de-France) - Alice Messéan,35,158
B6PvUuHr6nM,Firefighting Branch (Bretagne) - Fred NGuetta,35,158
vNqVBWHAjyA,Jam (Bretagne) - Gaston Guyot,31,161
GE_l4BtSme0,EcoMelio (Sud) - Gauthier Thomas,31,161
ZeI4HS5sEzM,Le Spark (Grand Est) - Aurélien Defontenay,30,163
WofRqBgf0GY,Wearscover (Bretagne) - Claudia Caffa,29,164
66MMXmoxsXg,The truc (Provence-Alpes-Côte d'Azur) - Anaïs Lacoste Bouachera,29,164
6cviwIwwVZU,Anes en Champagne (Grand Est) - Agathe Harsigny,29,164
5r2EldWNmxo,Indice Fossile (Occitanie) - Victor Michel,28,167
ye-XF2r7mvU,Dokamy (Nouvelle Aquitaine) -  Margaux Deshayes,28,167
vQcSLLiPKEo,Céramilk (Grand Est) - Juliette Ferreira,27,169
EIUOKN7kz_w,USEMY( Ile de France ) - Myriam Amara,26,170
ZIcOkHz7dGk,Anchor (Grand Est) - Maé Dugoua Jacques,24,171
q_IZytapoTM,I M A  (Ile-de-France) - Mehdi Alioua,23,172
T4wV2IANgTk,Heya (Pays de la Loire) - Elise Croguennoc,22,173
ck9GYOQkEUs,P'tit Loup (Grand Est) - Léa Sabatier,22,173
Ax4rhyVKP2c,MonCoachDePoche (Grand Est) - Lucas Gerum,22,173
KVMADTTp8T0,MEGD (Sud) - Michaël Cirgue,21,176
tirkNG6e8bU,The Magic Coffee (Hauts-de-France) - Inasse Toumi,20,177
9X8XXTzW6S8,Asteria (Grand Est) - Lisa Meliado,20,177
wpgkQPfjecA,Martin Stein Solutions (Ile de France) - Nicolas Lobstein,20,177
xfBm98rqqWw,CityMatch (Occitanie) - Anthony Barbedet,19,180
Jl3RqbOEEd4,Fenêtre Habitée (Nouvelle Aquitaine) - Clara Rousset,17,181
JpAtQhTC0A0,Éros Paris (Ile-de-France) - Adel Lehérissé,15,182
r-uVCGc-xUM,CâlinsetPattes (Occitanie) - Emma Ouali,15,182
8u2qC29LxPE,La Repousse (Grand Est) - Viktor Macé,14,184
NPhqm1_ocNo,Terter (Hauts de France) - Rémi Boussard,13,185
DR_P7zvNs3Y,NoteHear (Occitanie) - Nazarii Ivakhniuk,13,185
ZVA1rG3LydM,BeYonD (Île de France) - Amen Allah Ben Hassine,13,185
l11oYhr0tX8,MindCare (Ile-de-France) - Djenaba Toure,12,188
YxsHa3ivN3k,Caelum (Occitanie) - Juan Carlos Guzman,12,188
zjNk_GBOz-U,Les Harmonieuses (Ile de France) - Elodie Te,12,188
aU7AXvbYKRU,COMTRUE (Ile-de-France) - Mathieu Thullier,11,191
1oyZQ_CeitI,FoundUp (Hauts de France) - Antoine Revel Prone,11,191
oma5icmtuYM,Izalgue (Ile de France) - Andrea Tassard,11,191
KomYB4L3pxo,Foodeo  (Auvergne-Rhône-Alpes)  -  Maxime Panarinfo,10,194
hHIYPqV2o48,Mamitta (Ile de France) - Anaïs Marini,10,194
FaotlGHelvI,Image & Influence (Ile-de-France)   -  Hugo Martinez,10,194
R9b2eIvRYGI,Povi (Ile-de-France) - Cornelia Allagbe,9,197
aYu9Ch98gSM,Mosaic (Ile de France) -Antoine Robin,7,198
u_PQOKC8vEA,Shoisi (Auvergne-Rhône-Alpes Lucas)  -  Jardin,7,198
OdOQeUkmwSE,Indup (Ile de France) - Emrys Djebbari,7,198
yERDv4dSrVQ,UBCE SAS (Ile de France) - Céline Li,6,201
0UzFP3t1dvM,Sweb (Auvergne-Rhône-Alpes) - Souhaeb Saadaoui,6,201
y7Pa-9pa0nA,Sweefy (Auvergne Rhône Alpes) - Jonathan Godefroid,5,203
3cjVlniXX3I,Epsilone (Auvergne-Rhône-Alpes) - Adrien Deroudille,5,203
3uWDh396l-4,NamCours (Ile-de-France) - Barthélémy Lorimpo  Namtchougli,5,203
ZqZYH3rExww,Tré D'union (Outre mer) - Jehanne Lemaud,5,203
8FvsV9Dq8h8,FIYA  (Hauts de France)  -  Soumaya Djibril,5,203
6SucJT2qctw,Kokolab (Nouvelle-Aquitaine) - Karim Ben Messaoud,5,203
Pswf5Z2YWS0,The meal (Ile de France) - Amadou Diallo,4,209
VHCUKWeNuIo,N Homade (Nouvelle Aquitaine) - Quentin Gouty,4,209
g0t4Br2qG14,Artemisia Greentech (Auvergne Rhône Alpes) - Typhaine Brual,4,209
Oav-pZL7QO0,Hemicycle (Nouvelle Aquitaine) - Tom Laporte,4,209
_kQb_8aH0iM,SEBLIOTECA™ (Ile de France) - Pierre Jean Sébirot,4,209
yug2bzZrDvE,Kura (Auvergne-Rhône-Alpes) - Yanis Bennettayeb,4,209
AtCT3UxFcKQ,Sneaky Bastard (Bretagne) - Logan Direr,4,209
PdrVpjJLdV4,Clé d'Identité Numérique (Hauts de France)  - Dimitri Martin,4,209
6P8CraPQMWc,EMY  (Provence-Alpes-Côte d’Azur)  -  Pierre Louis Pinchaud,4,209
vfuG8n-K5QM,Studapp (Grand Est) - Beni Biantuadi,3,218
r90q3DlVIWs,Easy Season (Nouvelle Aquitaine) - Kemen Kheyi,3,218
HHzLWT5jPh8,MK ECO NETTOYAGE (Ile de France) - Moustapha Falilath,3,218
coPx7dEBevw,One Bicycle (Provence-Alpes-Côte d'Azur) - Rémi Devillers,3,218
Y8mDM6VMiDQ,fAIre (Ile de France) - Adrien Havart,3,218
9h1MB5StDBU,Jeu suis CAP (Grand Est) - Lorène Lepage,3,218
rFrHGKXELV0,First Carbon Bank  (Ile-de-France)  - Charles Martin,3,218
XHC7-4ZnFi8,inspeer (Occitanie)  -  Théo Boyé,3,218
e3By8b2C2L8,Onlife Game (Ile-de-France) - Jean Baptiste Gohier,3,218
IIV-MZacaBo,HAPPFLY (Ile-de-France) - Rubine Koukounda,3,218
zYV3d6Epeq0,Everywhere Jobs  (Provence-Alpes-Côte d’Azur )  - Carole Alfonsi,3,218
IljKcv0lkIA,Innovweb (Ile de France) - Mohamed Reda Tagmouti,2,229
0vHt7pDFbSo,La Société PAZ  (Normandie) - David CHAN,2,229
ufcXCCBjCwg,MaeDecoo (Centre-Val de Loire) - Maëline Degas,2,229
-P8bx4QGOsQ,Wolf ID (Sud) - Quentin,2,229
VMxVAF2u69Q,Envie (Ile-de-France) - CXII Ascar,2,229
1ggtuSSjVT4,TESSELIA (Grand Est) - Estelle Depaix,2,229
qEBQOutmTOk,Luxoderm (Ile de France) - Anthony Donabedian,2,229
uc7Ly_Dl5j4,La floqueuse (Bretagne) - Benoit Pacaud,2,229
DdpxBOClAcM,Arya (Ile de France) - Romain Hugo,2,229
0HAGXiq9Uv8,Ecogrind (Hauts de France) - Alban Crepel,2,229
0GhlvXev68c,L'École Change Demain (Provence Alpes Côte d'Azur) - Emma Bertoin,2,229
hehjpvRhXL0,Eou! (Provence-Alpes-Côte d'Azur) - Clarisse Dureuil,2,229
2XGhNEQQyzw,LOOP (Pays de la Loire) - Erwan Boudaud,2,229
oQnUMYwLOpU,MBIA  (Auvergne-Rhône-Alpes)  -  Assetou kectia DIABY,2,229
Hotib16L95k,Stelios (Ile-de-France) - William De Melo Gomes,2,229
VdcRMnF6dpk,Supermamas (Auvergne Rhônes Alpes) - Lou Pedersen,1,244
V8u3z2I1KtQ,Ucréa  ( Normandie ) -  Axel Edward SITCHEU,1,244
W0Lo8tncl18,Ankré (Ile-de-France) - Hortense Masurel,1,244
uSdQsxBkrK4,Edutrust (Ile de France) - Jeffrey Siombo,1,244
e1MOMM9THB4,À fleur de vous (Grand Est) - Léa Douine,1,244
WCDrj_zMGco,Poney Fringant (Centre Val de Loire) - Charlie Bougeard,1,244
rcb-A5km2sI,S.T (Normandie) - Serena Kamga Sob,1,244
e7mPHeWX9K4,Eau'tonome (Auvergne-Rhône-Alpes) - Arthur Germain,1,244
9xl0DL3aAVM,Epsilone (Auvergne-Rhône-Alpes)  -  Adrien Deroudille,1,244
FIhVzige7OQ,Scroll'Ex (Ile-de-France) - Léopold Dutheil de la Rochère,1,244
h6zIParalUQ,YFCEO (Ile-de-France) - Antonin Creignou,1,244
HRo-IYGI2TY,Luxigene (Ile de France) - Chrystian Wilk,1,244
-aTrOy-ZXxM,Akapa (Ile de France) - Oriane Cakpo,1,244
s4KN00C3JdU,IA.Lez (Occitanie) - Khamis Kebati,1,244
1-bbPIHdCtI,JustePrix (Provence Alpes Côte d'Azur) - Haiyan Shi,1,244
sqio46_Ebjk,IDActivities (Occitanie) - Damien Boye,1,244
VmUT0O13Bbk,Circul'Air (Ile de France) - Simon Bediou,1,244
jBvvx8YWTFg,Fenêtre ouverte (Ile de France) - Sadia Kossangue,1,244
bqODIDOHbNc,House of Sparks (Auvergne-Rhône-Alpes) -  Gwenaëlle Yau Chun Wan,1,244
hrKk5AglZGg,CAST Energy  (Ile-de-France)  - Joseph de Solages,1,244
Iz_No4cKonU,talk  (Ile-de-France) - Kyllian Rousseleau,1,244
TJNJVwfgtxY,ParlonsScience  (Ile-de-France) - Nadir GUENDOUZ,1,244
2OhJWhxSEYY,Doudou T Où  (Occitanie) - Valentine Bernard,1,244
B4lLvy2bmec,Eralis (Grand Est)  - Arnaud Bour,1,244
kaKDgZa1Ddo,Hunt Me (Sud) - Clara Meyer,1,244
xoZfR4nY2yc,Aoz Sportswear  (Ile-de-France) - Angèle Tréhin,1,244
6HjyPtMgRZY,Code Citron (Ile-de-France) - Marie Auger,1,244
rHMR3SPXwjA,Dreams univers   ( Nouvelle Aquitaine )  -   Landally Isabelle,0,271
6iZS87sLk84,ijana Couture (Outre Mer) - Navienca Tooy,0,271
hoWWN7JovQc,Häzo Creations (Ile-de-France)  -  Jackaella Randrianasolo,0,271
ficQZcPHly4,Reliquat Paris (Ile-de-France)  - Yesel Porquet,0,271
psJvYaflyn0,Defi Access (Ile de France) - Mvenge Jaho,0,271
9id5gr8q3_c,Lucas Philoconsultation (Grand Est) - Lucas Philippe,0,271
JIfvo4cgYFE,SØSTER (Ile de France) - Sally Chauvin,0,271
CjjWiohya8A,BUZU (Ile-de-France) - Sacha Boosz,0,271
